Valvula,Pressão estática Pa,Pressão dinâmica Pa
Aberta,"2310,794","248,001"
Aberta,"2298,332","249,75"
Aberta,"2270,379","250,268"
Aberta,"2231,335","249,874"
Aberta,"2184,383","248,602"
Aberta,"2133,502","246,25"
Aberta,"2085,711","243,046"
Aberta,"2045,978","239,452"
Aberta,"2019,099","235,793"
Aberta,"2008,802","232,332"
Aberta,"2014,317","228,891"
Aberta,"2033,43","225,382"
Aberta,"2064,834","222,063"
Aberta,"2106,187","219,055"
Aberta,"2155,009","216,548"
Aberta,"2207,653","214,701"
Aberta,"2259,037","213,712"
Aberta,"2306,128","213,762"
Aberta,"2347,202","214,485"
Aberta,"2379,889","215,726"
Aberta,"2401,705","217,519"
Aberta,"2416,565","219,685"
Aberta,"2428,701","221,882"
Aberta,"2436,609","223,753"
Aberta,"2441,722","224,874"
Aberta,"2445,829","225,227"
Aberta,"2448,361","225,059"
Aberta,"2449,376","224,353"
Aberta,"2448,245","223,205"
Aberta,"2443,941","221,59"
Aberta,"2437,262","219,538"
Aberta,"2427,534","217,292"
Aberta,"2413,863","215,217"
Aberta,"2397,865","213,825"
Aberta,"2379,902","213,255"
Aberta,"2359,73","213,347"
Aberta,"2339,178","213,821"
Aberta,"2320,521","214,555"
Aberta,"2305,308","215,878"
Aberta,"2291,167","217,586"
Aberta,"2274,865","218,942"
Aberta,"2257,371","219,432"
Aberta,"2239,154","218,692"
Aberta,"2220,647","216,431"
Aberta,"2200,177","212,633"
Aberta,"2176,422","207,364"
Aberta,"2151,774","200,898"
Aberta,"2128,241","194,032"
Aberta,"2104,589","187,564"
Aberta,"2079,278","182,109"
Aberta,"2053,933","178,357"
Aberta,"2032,145","176,706"
Aberta,"2017,013","177,126"
Aberta,"2009,258","179,287"
Aberta,"2008,375","182,891"
Aberta,"2014,332","187,643"
Aberta,"2027,379","193,313"
Aberta,"2045,135","199,832"
Aberta,"2064,982","206,917"
Aberta,"2088,297","214,353"
Aberta,"2115,389","221,998"
Aberta,"2141,822","229,545"
Aberta,"2158,634","236,428"
Aberta,"2156,52","242,205"
Aberta,"2136,812","246,826"
Aberta,"2105,4","250,248"
Aberta,"2066,133","252,178"
Aberta,"2023,119","252,568"
Aberta,"1982,605","251,669"
Aberta,"1950,111","249,832"
Aberta,"1927,423","247,27"
Aberta,"1915,948","244,099"
Aberta,"1916,842","240,492"
Aberta,"1930,137","236,853"
Aberta,"1952,044","233,851"
Aberta,"1978,318","231,997"
Aberta,"2009,434","231,124"
Aberta,"2042,762","230,476"
Aberta,"2072,483","229,602"
Aberta,"2097,861","228,484"
Aberta,"2116,075","227,251"
Aberta,"2123,135","226,055"
Aberta,"2124,392","225,215"
Aberta,"2127,415","224,972"
Aberta,"2133,501","225,461"
Aberta,"2141,401","226,887"
Aberta,"2150,492","229,233"
Aberta,"2159,548","232,1"
Aberta,"2168,529","234,967"
Aberta,"2178,916","237,328"
Aberta,"2191,485","238,896"
Aberta,"2206,024","239,878"
Aberta,"2222,233","240,748"
Aberta,"2236,543","241,515"
Aberta,"2245,84","241,523"
Aberta,"2250,139","240,404"
Aberta,"2246,348","238,323"
Aberta,"2235,513","235,726"
Aberta,"2222,14","233,094"
Aberta,"2205,381","230,778"
Aberta,"2187,896","228,844"
Aberta,"2176,793","227,297"
Aberta,"2176,722","226,41"
Aberta,"2189,523","226,352"
P1,"2293,369","179,92"
P1,"2337,939","174,207"
P1,"2389,75","168,641"
P1,"2445,463","163,893"
P1,"2500,399","160,394"
P1,"2550,68","158,526"
P1,"2594,501","158,51"
P1,"2628,998","160,163"
P1,"2650,638","162,738"
P1,"2660,285","165,567"
P1,"2662,865","168,212"
P1,"2661,486","170,333"
P1,"2655,775","171,921"
P1,"2645,548","172,801"
P1,"2631,365","173,126"
P1,"2613,747","173,006"
P1,"2592,851","172,314"
P1,"2569,216","171,001"
P1,"2543,217","169,266"
P1,"2515,713","167,704"
P1,"2488,867","166,415"
P1,"2462,609","165,23"
P1,"2436,441","164,183"
P1,"2408,005","163,214"
P1,"2372,491","162,428"
P1,"2331,109","162,031"
P1,"2286,487","162,158"
P1,"2240,732","162,772"
P1,"2196,517","163,966"
P1,"2153,211","165,67"
P1,"2111,739","167,461"
P1,"2075,691","169,029"
P1,"2048,214","170,39"
P1,"2032,227","171,792"
P1,"2030,374","173,183"
P1,"2043,325","174,711"
P1,"2069,786","176,638"
P1,"2107,352","178,846"
P1,"2153,517","181,095"
P1,"2205,269","183,12"
P1,"2257,701","184,984"
P1,"2300,846","187,144"
P1,"2326,151","189,798"
P1,"2334,271","192,609"
P1,"2327,323","195,301"
P1,"2304,419","197,557"
P1,"2266,908","198,993"
P1,"2219,037","199,484"
P1,"2167,391","198,933"
P1,"2120,873","197,588"
P1,"2086,246","196,043"
P1,"2067,077","194,589"
P1,"2061,203","193,305"
P1,"2065,694","192,35"
P1,"2078,199","192,139"
P1,"2096,073","192,832"
P1,"2118,212","194,266"
P1,"2142,948","196,243"
P1,"2168,307","198,379"
P1,"2191,94","200,257"
P1,"2211,467","201,568"
P1,"2230,016","201,819"
P1,"2249,765","200,81"
P1,"2268,517","198,769"
P1,"2288,524","195,962"
P1,"2311,409","192,789"
P1,"2334,333","189,563"
P1,"2354,276","186,666"
P1,"2369,519","184,6"
P1,"2378,755","183,223"
P1,"2381,918","182,069"
P1,"2378,694","181,22"
P1,"2373,404","180,312"
P1,"2370,212","178,705"
P1,"2371,127","176,08"
P1,"2377,589","172,654"
P1,"2388,271","168,825"
P1,"2401,869","164,685"
P1,"2418,057","160,446"
P1,"2435,747","156,615"
P1,"2447,632","153,431"
P1,"2446,174","150,968"
P1,"2431,496","149,253"
P1,"2404,69","148,462"
P1,"2366,332","148,745"
P1,"2320,023","149,966"
P1,"2265,872","152,312"
P1,"2204,598","155,696"
P1,"2141,609","159,651"
P1,"2081,518","164,045"
P1,"2027,958","168,916"
P1,"1986,172","173,782"
P1,"1960,912","178,473"
P1,"1954,465","182,971"
P1,"1967,184","187,028"
P1,"1997,706","190,439"
P1,"2043,128","192,968"
P1,"2098,469","194,539"
P1,"2150,403","194,978"
P1,"2186,571","194,06"
P1,"2208,651","191,851"
P1,"2221,101","188,525"
P2,"2321,118","128,688"
P2,"2358,258","126,954"
P2,"2390,592","124,481"
P2,"2413,533","121,174"
P2,"2427,546","117,353"
P2,"2431,817","113,665"
P2,"2425,806","110,661"
P2,"2408,629","108,761"
P2,"2381,233","108,324"
P2,"2345,888","109,698"
P2,"2307,617","112,677"
P2,"2272,472","116,756"
P2,"2244,172","121,253"
P2,"2225,547","125,465"
P2,"2217,877","129,159"
P2,"2221,378","132,274"
P2,"2235,402","134,613"
P2,"2256,422","136,05"
P2,"2281,215","136,861"
P2,"2308,585","137,146"
P2,"2336,864","136,995"
P2,"2363,417","136,415"
P2,"2389,466","135,15"
P2,"2417,303","133,21"
P2,"2443,984","130,675"
P2,"2465,773","127,745"
P2,"2481,451","124,811"
P2,"2492,371","122,397"
P2,"2503,305","120,648"
P2,"2518,36","119,427"
P2,"2536,962","118,947"
P2,"2556,86","119,376"
P2,"2576,497","120,796"
P2,"2595,325","123,12"
P2,"2612,15","125,642"
P2,"2625,391","127,996"
P2,"2632,463","130,19"
P2,"2633,228","131,693"
P2,"2628,755","131,859"
P2,"2617,731","130,662"
P2,"2598,781","128,134"
P2,"2571,141","124,554"
P2,"2535,559","120,686"
P2,"2494,613","117,059"
P2,"2452,567","114,147"
P2,"2413,665","112,523"
P2,"2380,648","112,304"
P2,"2355,374","113,244"
P2,"2339,609","115,373"
P2,"2333,917","118,772"
P2,"2338,056","123,09"
P2,"2351,276","127,606"
P2,"2370,643","131,627"
P2,"2392,469","134,853"
P2,"2414,467","137,378"
P2,"2435,09","139,068"
P2,"2454,146","139,491"
P2,"2471,203","138,437"
P2,"2484,296","136,076"
P2,"2492,644","132,406"
P2,"2498,77","127,401"
P2,"2504,495","121,559"
P2,"2509,906","115,543"
P2,"2514,593","110,149"
P2,"2515,419","105,782"
P2,"2510,789","102,201"
P2,"2501,862","99,37"
P2,"2489,898","97,433"
P2,"2477,171","96,291"
P2,"2465,277","95,835"
P2,"2454,766","95,899"
P2,"2447,222","96,517"
P2,"2444,435","98,064"
P2,"2447,948","100,619"
P2,"2457,767","103,911"
P2,"2470,616","107,73"
P2,"2482,732","112,14"
P2,"2492,241","117,196"
P2,"2497,748","122,841"
P2,"2498,021","129,037"
P2,"2491,777","135,566"
P2,"2481,338","141,998"
P2,"2469,798","147,931"
P2,"2458,669","152,929"
P2,"2450,892","156,859"
P2,"2447,328","159,857"
P2,"2447,525","161,828"
P2,"2451,239","162,685"
P2,"2456,672","162,532"
P2,"2462,67","161,315"
P2,"2468,29","159,288"
P2,"2473,661","156,977"
P2,"2476,433","155,341"
P2,"2472,671","155,105"
P2,"2462,87","156,085"
P2,"2449,688","157,809"
P2,"2435,671","159,673"
P2,"2422,457","161,38"
P2,"2412,033","162,479"
P2,"2405,777","162,612"
P2,"2403,857","161,838"
P3,"2660,251","61,077"
P3,"2649,032","55,585"
P3,"2635,824","52,351"
P3,"2621,071","51,75"
P3,"2605,605","53,211"
P3,"2590,025","56,087"
P3,"2575,216","59,725"
P3,"2562,144","63,568"
P3,"2551,455","67,162"
P3,"2543,698","70,203"
P3,"2539,124","72,693"
P3,"2538,617","74,617"
P3,"2542,028","75,829"
P3,"2549,129","76,378"
P3,"2559,582","76,469"
P3,"2569,904","76,313"
P3,"2571,056","76,294"
P3,"2558,191","76,696"
P3,"2534,168","77,323"
P3,"2504,474","78,001"
P3,"2475,883","78,717"
P3,"2451,433","79,667"
P3,"2433,483","80,603"
P3,"2425,319","81,262"
P3,"2429,677","81,703"
P3,"2446,586","81,978"
P3,"2468,123","82,461"
P3,"2487,498","83,05"
P3,"2504,539","83,535"
P3,"2518,551","83,864"
P3,"2528,982","83,856"
P3,"2534,752","83,589"
P3,"2534,793","83,088"
P3,"2529,677","82,368"
P3,"2522,463","81,609"
P3,"2518,361","80,717"
P3,"2525,491","79,67"
P3,"2546,651","78,741"
P3,"2578,032","78,323"
P3,"2615,213","78,675"
P3,"2653,001","79,687"
P3,"2687,808","80,847"
P3,"2715,269","81,659"
P3,"2730,818","82,028"
P3,"2730,856","82,125"
P3,"2712,238","82,415"
P3,"2680,807","83,073"
P3,"2643,106","84,133"
P3,2601,"85,832"
P3,"2558,106","87,997"
P3,"2517,654","90,264"
P3,"2481,61","92,134"
P3,"2451,309","93,516"
P3,"2428,414","94,798"
P3,"2411,911","95,931"
P3,"2400,514","96,886"
P3,"2395,113","97,512"
P3,"2396,667","97,416"
P3,"2404,918","96,22"
P3,"2418,364","93,655"
P3,"2436,521","90,008"
P3,"2458,089","85,938"
P3,"2480,864","82,3"
P3,"2501,698","79,672"
P3,"2517,908","78,367"
P3,"2531,514","78,334"
P3,"2543,761","79,346"
P3,"2554,675","81,477"
P3,"2563,643","84,17"
P3,"2570,311","86,853"
P3,"2575,182","89,194"
P3,"2580,735","90,702"
P3,"2589,907","91,181"
P3,"2602,796","90,456"
P3,"2618,969","88,49"
P3,"2637,735","85,066"
P3,"2656,946","80,329"
P3,"2675,958","75,086"
P3,"2695,298","69,807"
P3,"2713,204","64,957"
P3,"2726,681","60,705"
P3,"2732,134","56,938"
P3,"2728,587","53,667"
P3,"2719,224","50,913"
P3,"2706,893","48,8"
P3,"2692,766","47,328"
P3,"2677,864","46,485"
P3,"2662,667","46,182"
P3,"2647,729","46,66"
P3,"2631,292","48,249"
P3,"2610,542","50,867"
P3,"2585,043","54,452"
P3,"2553,911","58,75"
P3,"2516,954","63,426"
P3,"2476,513","68,035"
P3,"2436,13","72,271"
P3,"2400,023","75,854"
P3,"2371,13","78,237"
P3,"2351,646","79,401"
P3,"2344,006","79,245"
P3,"2349,038","77,69"
P4,"2859,896","45,253"
P4,"2857,388","41,993"
P4,"2847,982","38,989"
P4,"2832,188","36,699"
P4,"2810,642","35,381"
P4,"2785,04","35,082"
P4,"2757,17","35,796"
P4,"2729,58","37,259"
P4,"2705,572","39,108"
P4,"2686,631","41,177"
P4,"2673,236","43,368"
P4,"2666,769","45,402"
P4,"2667,197","46,973"
P4,"2673,267","47,53"
P4,"2684,22","46,418"
P4,"2699,353","43,748"
P4,"2716,029","40,446"
P4,"2729,93","37,201"
P4,"2739,001","34,174"
P4,"2736,012","31,687"
P4,"2714,782","29,978"
P4,"2679,941","28,942"
P4,"2636,719","28,663"
P4,"2586,774","29,279"
P4,"2533,891","30,872"
P4,"2485,09","33,524"
P4,"2445,514","37,155"
P4,"2418,698","41,501"
P4,"2407,36","46,202"
P4,"2412,703","50,523"
P4,"2435,327","53,028"
P4,"2474,024","53,063"
P4,"2525,858","51,147"
P4,"2587,032","48,128"
P4,"2651,174","44,842"
P4,"2710,887","41,784"
P4,"2761,393","39,032"
P4,"2798,652","36,761"
P4,"2817,998","35,269"
P4,"2823,425","34,19"
P4,"2819,942","33,195"
P4,"2807,314","32,353"
P4,"2786,428","31,181"
P4,"2761,609","29,199"
P4,"2736,868","26,524"
P4,"2713,177","23,423"
P4,"2692,539","20,344"
P4,"2676,2","18,018"
P4,"2657,764","17,208"
P4,"2631,96","18,437"
P4,"2597,571","22,281"
P4,"2553,672","28,849"
P4,"2503,819","37,33"
P4,"2451,411","46,473"
P4,"2400,426","55,262"
P4,"2355,857","63,176"
P4,"2321,807","69,769"
P4,"2301,544","74,442"
P4,"2291,661","76,846"
P4,"2288,603","77,068"
P4,"2293,846","75,463"
P4,"2306,911","72,531"
P4,"2326,702","69,396"
P4,"2351,052","67,085"
P4,"2375,924","65,965"
P4,"2397,706","66,204"
P4,"2415,145","67,346"
P4,"2426,819","68,578"
P4,"2438,78","69,345"
P4,"2457,124","69,68"
P4,"2482,536","69,655"
P4,"2515,815","69,132"
P4,"2553,941","68,133"
P4,"2594,049","66,825"
P4,"2633,635","65,551"
P4,"2669,682","64,551"
P4,"2699,047","63,546"
P4,"2719,198","62,349"
P4,"2734,068","60,995"
P4,"2748,207","59,671"
P4,"2761,103","59,005"
P4,"2772,195","59,024"
P4,"2780,615","59,153"
P4,"2785,824","59,378"
P4,"2791,391","59,786"
P4,"2801,573","60,378"
P4,"2815,975","61,341"
P4,"2835,409","62,951"
P4,"2859,645","64,916"
P4,"2885,334","66,516"
P4,"2910,614","67,342"
P4,"2933,554","67,144"
P4,"2947,351","65,839"
P4,"2944,822","63,633"
P4,"2923,921","60,535"
P4,"2884,888","56,437"
P4,"2829,811","51,922"
P4,"2763,347","47,626"
P4,"2692,393","43,814"
P4,"2622,3","40,698"
P4,"2557,992","37,983"
Fechada,"2672,095","43,585"
Fechada,"2683,724","53,07"
Fechada,"2700,024","62,365"
Fechada,"2719,673","70,687"
Fechada,"2740,753","77,069"
Fechada,"2762,391","80,796"
Fechada,"2783,151","81,261"
Fechada,"2800,655","78,518"
Fechada,"2819,692","72,667"
Fechada,"2844,23","64,485"
Fechada,"2870,512","55,574"
Fechada,"2896,759","46,975"
Fechada,"2921,644","38,965"
Fechada,"2942,283","32,282"
Fechada,"2956,82","27,588"
Fechada,"2963,375","25,408"
Fechada,"2961,784","26,184"
Fechada,"2951,891","29,536"
Fechada,"2931,94","34,869"
Fechada,"2903,574","41,157"
Fechada,"2869,628","47,121"
Fechada,"2833,445","51,345"
Fechada,"2796,345","52,546"
Fechada,"2759,976","50,59"
Fechada,"2727,614","46,016"
Fechada,"2696,54","39,151"
Fechada,"2662,939","30,935"
Fechada,"2628,573","22,857"
Fechada,"2596,593","16,28"
Fechada,"2570,931","11,58"
Fechada,"2552,34","8,447"
Fechada,"2538,049","6,929"
Fechada,"2527,07","7,671"
Fechada,"2520,128","10,697"
Fechada,"2518,815","15,492"
Fechada,"2525,283","21,38"
Fechada,"2539,282","27,627"
Fechada,"2561,022","34,097"
Fechada,"2592,998","39,866"
Fechada,"2634,157","44,058"
Fechada,"2681,923","46,378"
Fechada,"2732,423","46,729"
Fechada,"2781,782","45,352"
Fechada,"2825,885","42,211"
Fechada,"2860,672","37,295"
Fechada,"2888,141","31,17"
Fechada,"2910,714","24,404"
Fechada,"2926,559","17,328"
Fechada,"2933,668","10,434"
Fechada,"2931,796","4,539"
Fechada,"2924,333","0,485"
Fechada,"2915,514","-1,38"
Fechada,"2907,512","-1,265"
Fechada,"2901,85","0,246"
Fechada,"2898,819","2,574"
Fechada,"2898,028","5,241"
Fechada,"2897,629","7,505"
Fechada,"2896,597","8,71"
Fechada,"2893,684","9,277"
Fechada,"2886,179","9,559"
Fechada,"2873,528","9,592"
Fechada,"2856,923","9,531"
Fechada,"2838,477","9,551"
Fechada,"2818,702","10,042"
Fechada,"2797,046","11,534"
Fechada,"2775,966","13,98"
Fechada,"2754,649","16,888"
Fechada,"2731,313","19,983"
Fechada,"2708,99","22,844"
Fechada,"2689,732","24,923"
Fechada,"2673,719","25,574"
Fechada,"2660,428","24,865"
Fechada,"2648,972","23,015"
Fechada,"2636,226","20,605"
Fechada,"2620,264","18,56"
Fechada,"2602,284","17,623"
Fechada,"2585,985","18,025"
Fechada,"2575,388","18,926"
Fechada,"2572,609","19,72"
Fechada,"2579,275","20,024"
Fechada,"2594,536","19,508"
Fechada,"2614,94","18,586"
Fechada,"2638,113","17,091"
Fechada,"2664,439","15,059"
Fechada,"2693,675","12,345"
Fechada,"2722,284","8,567"
Fechada,"2750,171","4,025"
Fechada,"2778,864","-0,981"
Fechada,"2804,928","-5,584"
Fechada,"2824,977","-9,185"
Fechada,"2838,159","-11,424"
Fechada,"2844,574","-12,27"
Fechada,"2842,508","-11,884"
Fechada,"2833,447","-10,524"
Fechada,"2821,108","-8,424"
Fechada,"2807,01","-6,438"
Fechada,"2791,507","-4,668"
Fechada,"2774,524","-2,269"
Fechada,"2757,683","0,222"
Fechada,"2742,898","2,058"
Fechada,"2731,555","3,408"