Velocidade do compressor rpm,válvula,Vazão volumétrica m3/min,Pressão total Pa,Pressão estática Pa,Pressão dinâmica Pa,Temperatura do ar °C,Umidade do ar %,Tensão monofasica Volts,Corrente monofásica amp,FP,Potencia ativa Wattios,Potência reativa VAR,Rendimento total
3480.00,Aberta,2.21,2404.95,2180.62,224.33,32.82,75.66,221.80,5.01,0.57,641.80,905.80,0.14
3480.00,P1,2.00,2470.32,2293.18,177.13,32.81,75.31,221.70,4.90,0.57,628.80,889.40,0.13
3480.00,P2,1.65,2571.59,2443.22,128.35,32.84,74.74,221.60,4.76,0.57,608.60,862.70,0.12
3480.00,P3,1.20,2630.25,2554.27,75.96,32.85,74.68,221.60,4.67,0.57,588.70,832.70,0.09
3480.00,P4,0.73,2696.15,2647.07,49.07,32.76,74.41,221.80,4.47,0.57,569.00,812.20,0.06
3480.00,Fechada,0.00,2784.08,2760.83,23.24,32.77,73.74,222.20,4.38,0.57,551.70,788.90,0.00
2600.00,Aberta,1.68,1121.19,983.08,138.10,32.70,74.44,222.30,3.27,0.56,410.30,598.70,0.08
2600.00,P1,1.49,1202.85,1082.74,120.10,32.70,74.23,222.50,3.23,0.56,405.00,594.30,0.07
2600.00,P2,1.27,1310.34,1219.35,90.98,32.65,74.21,222.80,3.16,0.56,400.00,582.10,0.07
2600.00,P3,0.93,1274.96,1219.36,55.60,32.63,72.63,222.80,3.08,0.56,390.80,566.70,0.05
2600.00,P4,0.59,1408.13,1379.09,29.03,32.65,72.08,222.60,3.03,0.56,382.50,555.20,0.04
2600.00,Fechada,0.00,1229.49,1214.49,15.20,32.62,71.89,222.60,2.98,0.56,371.80,548.00,0.00
1740.00,Aberta,1.15,369.06,300.62,68.43,32.40,70.39,223.40,1.89,0.55,233.50,251.60,0.03
1740.00,P1,0.99,397.81,338.36,59.45,32.30,70.35,223.20,1.88,0.55,231.80,250.60,0.03
1740.00,P2,0.85,438.36,386.80,51.56,32.36,69.88,223.30,1.87,0.55,230.20,247.60,0.03
1740.00,P3,0.64,438.66,400.50,38.16,32.29,69.80,222.40,1.83,0.55,227.60,243.00,0.02
1740.00,P4,0.47,407.89,379.76,28.13,32.26,69.77,223.40,1.82,0.55,225.60,239.60,0.01
1740.00,Fechada,0.00,400.57,377.90,22.67,32.18,70.07,222.80,1.80,0.55,222.80,236.70,0.00
800.00,Aberta,0.56,22.53,-5.85,28.37,32.13,69.03,224.10,1.01,0.52,119.10,192.50,0.00
800.00,P1,0.52,-7.72,-34.45,26.75,32.07,68.74,224.10,1.01,0.52,119.10,192.10,0.00
800.00,P2,0.44,39.98,10.84,29.15,31.96,68.74,224.10,1.01,0.52,119.10,192.70,0.00
800.00,P3,0.35,18.67,-2.77,21.44,32.01,69.00,224.10,1.01,0.52,119.10,192.10,0.00
800.00,P4,0.00,22.70,4.94,17.77,31.97,68.72,224.10,1.01,0.52,119.10,191.60,0.00
800.00,Fechada,0.00,8.63,-10.22,18.86,31.93,68.46,224.10,1.01,0.52,119.10,191.60,0.00